date,takjil,baju lebaran,snack lebaran,diskon,isPartial
2025-11-25,0,2,0,29,False
2025-11-26,0,2,0,29,False
2025-11-27,0,2,0,28,False
2025-11-28,0,3,0,33,False
2025-11-29,0,2,0,25,False
2025-11-30,0,2,0,28,False
2025-12-01,1,3,0,34,False
2025-12-02,0,2,0,33,False
2025-12-03,0,3,0,32,False
2025-12-04,0,3,0,30,False
2025-12-05,0,4,0,31,False
2025-12-06,0,3,0,28,False
2025-12-07,0,4,0,27,False
2025-12-08,0,3,0,27,False
2025-12-09,0,3,0,32,False
2025-12-10,0,2,0,31,False
2025-12-11,0,2,0,43,False
2025-12-12,0,3,0,34,False
2025-12-13,0,4,0,27,False
2025-12-14,0,4,0,23,False
2025-12-15,0,4,0,26,False
2025-12-16,0,4,0,24,False
2025-12-17,0,3,0,26,False
2025-12-18,1,3,0,27,False
2025-12-19,2,4,0,28,False
2025-12-20,0,3,0,30,False
2025-12-21,0,2,0,27,False
2025-12-22,0,4,0,28,False
2025-12-23,0,3,0,27,False
2025-12-24,0,4,0,33,False
2025-12-25,0,4,0,35,False
2025-12-26,0,4,0,32,False
2025-12-27,0,4,0,31,False
2025-12-28,2,4,0,27,False
2025-12-29,0,4,0,31,False
2025-12-30,0,5,0,29,False
2025-12-31,0,4,0,36,False
2026-01-01,0,4,0,35,False
2026-01-02,0,5,0,28,False
2026-01-03,0,6,0,25,False
2026-01-04,0,6,0,24,False
2026-01-05,2,5,0,24,False
2026-01-06,2,6,0,26,False
2026-01-07,1,6,0,29,False
2026-01-08,2,7,0,23,False
2026-01-09,2,7,0,27,False
2026-01-10,2,7,0,24,False
2026-01-11,1,7,0,22,False
2026-01-12,2,6,0,23,False
2026-01-13,0,4,0,28,False
2026-01-14,2,6,0,24,False
2026-01-15,1,6,0,23,False
2026-01-16,3,7,0,26,False
2026-01-17,0,6,0,26,False
2026-01-18,2,7,0,22,False
2026-01-19,2,7,0,24,False
2026-01-20,2,7,0,28,False
2026-01-21,0,6,0,25,False
2026-01-22,2,5,0,23,False
2026-01-23,2,7,0,26,False
2026-01-24,2,7,0,27,False
2026-01-25,2,7,0,24,False
2026-01-26,4,6,0,26,False
2026-01-27,4,6,0,28,False
2026-01-28,3,5,0,28,False
2026-01-29,3,6,0,29,False
2026-01-30,2,6,0,29,False
2026-01-31,2,6,0,25,False
2026-02-01,3,10,0,29,False
2026-02-02,4,8,0,29,False
2026-02-03,4,8,0,31,False
2026-02-04,5,8,0,27,False
2026-02-05,6,8,0,27,False
2026-02-06,4,8,0,27,False
2026-02-07,4,8,1,24,False
2026-02-08,4,11,0,27,False
2026-02-09,8,10,0,31,False
2026-02-10,8,7,0,35,False
2026-02-11,9,9,1,29,False
2026-02-12,10,9,1,29,False
2026-02-13,11,10,0,29,False
2026-02-14,10,11,1,25,False
2026-02-15,13,14,1,24,False
2026-02-16,17,15,1,24,False
2026-02-17,22,18,1,22,False
2026-02-18,37,16,1,22,False
2026-02-19,100,19,1,24,False
2026-02-20,73,20,1,29,False
2026-02-21,70,24,1,39,False
2026-02-22,59,23,1,28,False
2026-02-23,61,19,1,27,False
2026-02-24,59,19,1,29,False
2026-02-25,61,17,2,32,True
